year,month,gender,application
2022,12,male,67881
2022,12,female,76821
2022,11,male,65634
2022,11,female,72938
2022,10,male,63113
2022,10,female,67953
2022,9,male,54963
2022,9,female,60824
2022,8,male,61163
2022,8,female,60614
2022,7,male,53549
2022,7,female,54000
2022,6,male,59790
2022,6,female,62504
2022,5,male,50556
2022,5,female,50453
2022,4,male,38693
2022,4,female,37712
2022,3,male,37965
2022,3,female,36857
2022,2,male,21785
2022,2,female,20322
2022,1,male,22146
2022,1,female,20456
2021,12,male,19763
2021,12,female,19161
2021,11,male,23780
2021,11,female,23393
2021,10,male,22494
2021,10,female,22869
2021,9,male,19964
2021,9,female,19914
2021,8,male,24592
2021,8,female,24364
2021,7,male,21523
2021,7,female,21851
2021,6,male,21780
2021,6,female,22441
2021,5,male,18625
2021,5,female,18491
2021,4,male,20705
2021,4,female,20878
2021,3,male,27604
2021,3,female,27516
2021,2,male,19022
2021,2,female,18333
2021,1,male,18034
2021,1,female,16846
2020,12,male,17135
2020,12,female,17504
2020,11,male,17733
2020,11,female,18078
2020,10,male,22173
2020,10,female,22825
2020,9,male,20656
2020,9,female,21087
2020,8,male,26702
2020,8,female,26940
2020,7,male,25145
2020,7,female,26233
2020,6,male,30171
2020,6,female,31084
2020,5,male,17652
2020,5,female,17117
2020,4,male,21352
2020,4,female,20379
2020,3,male,82151
2020,3,female,84596
2020,2,male,125683
2020,2,female,136334
2020,1,male,187241
2020,1,female,218957
2019,12,male,145741
2019,12,female,166578
2019,11,male,137982
2019,11,female,154523
2019,10,male,146624
2019,10,female,158677
2019,9,male,140001
2019,9,female,155882
2019,8,male,197370
2019,8,female,214546
2019,7,male,201000
2019,7,female,241395
2019,6,male,174752
2019,6,female,213728
2019,5,male,170225
2019,5,female,200440
2019,4,male,164649
2019,4,female,182645
2019,3,male,185786
2019,3,female,213949
2019,2,male,175357
2019,2,female,209236
2019,1,male,188076
2019,1,female,226128
2018,12,male,138053
2018,12,female,161535
2018,11,male,140811
2018,11,female,161225
2018,10,male,155696
2018,10,female,174831
2018,9,male,127182
2018,9,female,146687
2018,8,male,212716
2018,8,female,238442
2018,7,male,179146
2018,7,female,211935
2018,6,male,165242
2018,6,female,195693
2018,5,male,177643
2018,5,female,194725
2018,4,male,158195
2018,4,female,166737
2018,3,male,179606
2018,3,female,192790
2018,2,male,159523
2018,2,female,178625
2018,1,male,174072
2018,1,female,191097
2017,12,male,136273
2017,12,female,148653
2017,11,male,129644
2017,11,female,138382
2017,10,male,132823
2017,10,female,138560
2017,9,male,134716
2017,9,female,141963
2017,8,male,204678
2017,8,female,217965
2017,7,male,166157
2017,7,female,188122
2017,6,male,165047
2017,6,female,185885
2017,5,male,160349
2017,5,female,167148
2017,4,male,151547
2017,4,female,152948
2017,3,male,182562
2017,3,female,197549
2017,2,male,164371
2017,2,female,182281
2017,1,male,174675
2017,1,female,197170
2016,12,male,129420
2016,12,female,145236
2016,11,male,127006
2016,11,female,137184
2016,10,male,129367
2016,10,female,137896
2016,9,male,134865
2016,9,female,146254
2016,8,male,191237
2016,8,female,201803
2016,7,male,163602
2016,7,female,183484
2016,6,male,162820
2016,6,female,185488
2016,5,male,153800
2016,5,female,161127
2016,4,male,139429
2016,4,female,141169
2016,3,male,167831
2016,3,female,172351
2016,2,male,149843
2016,2,female,156836
2016,1,male,154138
2016,1,female,166194
2015,12,male,117172
2015,12,female,122551
2015,11,male,108496
2015,11,female,110778
2015,10,male,122744
2015,10,female,126292
2015,9,male,115735
2015,9,female,117983
2015,8,male,167178
2015,8,female,174739
2015,7,male,149299
2015,7,female,162273
2015,6,male,136319
2015,6,female,150694
2015,5,male,125549
2015,5,female,134590
2015,4,male,126493
2015,4,female,125909
2015,3,male,141550
2015,3,female,144838
2015,2,male,127968
2015,2,female,134413
2015,1,male,144217
2015,1,female,161813
2014,12,male,103550
2014,12,female,113283
2014,11,male,89317
2014,11,female,93558
2014,10,male,112330
2014,10,female,117027
2014,9,male,117213
2014,9,female,123522
2014,8,male,163419
2014,8,female,174794
2014,7,male,153269
2014,7,female,179078
2014,6,male,129038
2014,6,female,150394
2014,5,male,132863
2014,5,female,143604
2014,4,male,132722
2014,4,female,134661
2014,3,male,134767
2014,3,female,143554
2014,2,male,127605
2014,2,female,134380
2014,1,male,146010
2014,1,female,160886
